Title,Director,Cast,Country,Release_year,Start,End
Mimi,Laxman Utekar,"Kriti Sanon, Pankaj Tripathi, Sai Tamhankar, Evelyn Edwards, Supriya Pathak",India,2021,2021-07-26,
Forbidden Fairytale,Lee Jong-suk,"Park Ji-hyun, Choi Si-won, Sung Dong-il, Park Geon-il, Hwang Se-on",South Korea,2025,2025-01-08,
The Negotiation,Lee Jong-suk,"Son Ye-jin, Hyun Bin, Kim Sang-ho, Jang Young-nam, Jang Gwang",South Korea,2018,2018-09-19,
Wolf Man,Leigh Whannell,"Christopher Abbott, Julia Garner, Matilda Firth, Sam Jaeger, Ben Prendergast",United States of America,2025,2025-01-15,
The Invisible Man,Leigh Whannell,"Elisabeth Moss, Aldis Hodge, Storm Reid, Michael Dorman, Harriet Dyer","Australia, United States of America",2020,2020-02-26,
Upgrade,Leigh Whannell,"Logan Marshall-Green, Betty Gabriel, Harrison Gilbertson, Melanie Vallejo, Benedict Hardie","Australia, United States of America",2018,2018-05-31,
Insidious: Chapter 3,Leigh Whannell,"Stefanie Scott, Lin Shaye, Dermot Mulroney, Leigh Whannell, Angus Sampson","Canada, United States of America",2015,2015-05-28,
From the World of John Wick: Ballerina,Len Wiseman,"Ana de Armas, Norman Reedus, Anjelica Huston, Gabriel Byrne, Lance Reddick",United States of America,2025,2025-06-04,
Total Recall,Len Wiseman,"Colin Farrell, Jessica Biel, Kate Beckinsale, Ethan Hawke, Bill Nighy","Canada, India, United States of America",2012,2012-08-02,
The Legend of Condor Hero: What is Love,Lin Zhenzhao,"Zhao Huawei, Wang Zijun, Chen Zihan, Xing Yu, Bruce Leung Siu-Lung",China,2025,2025-01-22,
Snake 3: Dinosaur vs. Python,Lin Zhenzhao,"Chen Zihan, Luo Liqun, Li Ruoxi, Yue Dongfeng, Zhong Lei",China,2022,2022-01-22,
Restart the Earth,Lin Zhenzhao,"He Shengming, Mi Luo, Michelle Ye Xuan, Yu Rongguang, Li Ning",China,2021,2021-09-03,
The Surfer,Lorcan Finnegan,"Nicolas Cage, Julian McMahon, Justin Rosniak, Alexander Bertrand, Rahel Romahn","Australia, Ireland, United Kingdom, United States of America",2025,2025-03-21,
Nocebo,Lorcan Finnegan,"Eva Green, Mark Strong, Chai Fonacier, Billie Gadsdon, Sariah Reyes-Themistocleous","Ireland, Philippines, United Kingdom, United States of America",2022,2022-11-03,
Vivarium,Lorcan Finnegan,"Imogen Poots, Jesse Eisenberg, Jonathan Aris, Senan Jennings, Éanna Hardwicke","Belgium, Denmark, Ireland, United States of America",2019,2019-09-07,
June and John,Luc Besson,"Matilda Price, Luke Stanton Eddy, Honey Lauren, Myles Cranford, Dean Testerman",France,2025,2025-03-13,
Dogman,Luc Besson,"Caleb Landry Jones, Jojo T. Gibbs, Christopher Denham, Clemens Schick, John Charles Aguilar","France, United States of America",2023,2023-09-27,
Anna,Luc Besson,"Sasha Luss, Helen Mirren, Luke Evans, Cillian Murphy, Lera Abova","France, Guadaloupe, Russia, Serbia, United States of America",2019,2019-06-19,
Valerian and the City of a Thousand Planets,Luc Besson,"Dane DeHaan, Cara Delevingne, Clive Owen, Rihanna, Ethan Hawke","France, Germany, United Arab Emirates, United States of America, Belgium, Canada, China",2017,2017-07-20,
Lucy,Luc Besson,"Scarlett Johansson, Morgan Freeman, Choi Min-sik, Amr Waked, Julian Rhind-Tutt",France,2014,2014-07-25,
The Family,Luc Besson,"Robert De Niro, Michelle Pfeiffer, Tommy Lee Jones, Dianna Agron, John D'Leo","France, United States of America",2013,2013-09-13,
The Lady,Luc Besson,"Michelle Yeoh, David Thewlis, Jonathan Raggett, Jonathan Woodhouse, Susan Wooldridge","France, United Kingdom",2011,2011-11-30,
The Extraordinary Adventures of Adèle Blanc-Sec,Luc Besson,"Louise Bourgoin, Mathieu Amalric, Gilles Lellouche, Jean-Paul Rouve, Jacky Nercessian",France,2010,2010-04-09,
Arthur 3: The War of the Two Worlds,Luc Besson,"Freddie Highmore, Mia Farrow, Robert Stanton, Penny Balfour, David Gasman",France,2010,2010-08-22,
Kleks i wynalazek Filipa Golarza,Maciej Kawulski,"Antonina Litwiniak, Konrad Repiński, Tomasz Kot, Sebastian Stankiewicz, Piotr Fronczewski",Poland,2025,2025-01-10,
Kleks Academy,Maciej Kawulski,"Antonina Litwiniak, Tomasz Kot, Piotr Fronczewski, Sebastian Stankiewicz, Agnieszka Grochowska",Poland,2024,2024-01-05,
How I Fell in Love with a Gangster,Maciej Kawulski,"Tomasz Włosok, Aleks Kurdzielewicz, Antoni Królikowski, Agnieszka Grochowska, Magdalena Lamparska",Poland,2022,2022-01-05,
How I Became a Gangster,Maciej Kawulski,"Marcin Kowalczyk, Tomasz Włosok, Natalia Szroeder, Natalia Siwiec, Jan Frycz",Poland,2019,2019-12-25,
Vidaamuyarchi,Magizh Thirumeni,"Ajith Kumar, Arjun Sarja, Regina Cassandra, Trisha Krishnan, Aarav Kizar",India,2025,2025-02-06,
Snow White,Marc Webb,"Rachel Zegler, Gal Gadot, Andrew Burnap, Jeremy Swift, Martin Klebba",United States of America,2025,2025-03-19,
Gifted,Marc Webb,"Chris Evans, Mckenna Grace, Lindsay Duncan, Jenny Slate, Octavia Spencer","United Kingdom, United States of America",2017,2017-04-07,
The Only Living Boy in New York,Marc Webb,"Callum Turner, Jeff Bridges, Kate Beckinsale, Pierce Brosnan, Cynthia Nixon",United States of America,2017,2017-07-27,
The Amazing Spider-Man 2,Marc Webb,"Andrew Garfield, Emma Stone, Jamie Foxx, Dane DeHaan, Colm Feore",United States of America,2014,2014-04-16,
The Amazing Spider-Man,Marc Webb,"Andrew Garfield, Emma Stone, Rhys Ifans, Denis Leary, Martin Sheen",United States of America,2012,2012-06-23,
Lucca's World,Mariana Chenillo,"Bárbara Mori, Julián Tello, Juan Pablo Medina, Ari Brickman, Danish Hussain",Mexico,2025,2025-01-30,
La Dolce Villa,Mark Waters,"Scott Foley, Violante Placido, Maia Reficco, Giuseppe Futia, Simone Luglio",United States of America,2025,2025-02-12,
Mother of the Bride,Mark Waters,"Brooke Shields, Miranda Cosgrove, Benjamin Bratt, Sean Teale, Rachael Harris","Thailand, United States of America",2024,2024-05-08,
He's All That,Mark Waters,"Addison Rae, Tanner Buchanan, Madison Pettis, Rachael Leigh Cook, Matthew Lillard",United States of America,2021,2021-08-27,
Magic Camp,Mark Waters,"Adam Devine, Jeffrey Tambor, Gillian Jacobs, Nathaniel Logan McIntyre, Cole Sand",United States of America,2020,2020-08-14,
Bad Santa 2,Mark Waters,"Billy Bob Thornton, Kathy Bates, Tony Cox, Christina Hendricks, Brett Kelly","Canada, United Kingdom, United States of America",2016,2016-11-23,
Vampire Academy,Mark Waters,"Zoey Deutch, Lucy Fry, Danila Kozlovsky, Gabriel Byrne, Dominic Sherwood",United States of America,2014,2014-02-07,
Mr. Popper's Penguins,Mark Waters,"Jim Carrey, Carla Gugino, Angela Lansbury, Ophelia Lovibond, Madeline Carroll",United States of America,2011,2011-06-17,
Cleaner,Martin Campbell,"Daisy Ridley, Clive Owen, Taz Skylar, Flavia Watson, Ray Fearon",United Kingdom,2025,2025-02-19,
Dirty Angels,Martin Campbell,"Eva Green, Maria Bakalova, Ruby Rose, Reza Brojerdi, Jojo T. Gibbs","Bulgaria, United States of America",2024,2024-12-11,
Memory,Martin Campbell,"Liam Neeson, Guy Pearce, Taj Atwal, Harold Torres, Ray Fearon",United States of America,2022,2022-04-28,
The Protégé,Martin Campbell,"Maggie Q, Samuel L. Jackson, Michael Keaton, David Rintoul, Patrick Malahide","Bulgaria, Romania, United Kingdom, United States of America",2021,2021-08-19,
The Foreigner,Martin Campbell,"Pierce Brosnan, Jackie Chan, Rory Fleck-Byrne, Ray Fearon, Charlie Murphy","China, India, United Kingdom, United States of America",2017,2017-09-28,
Green Lantern,Martin Campbell,"Ryan Reynolds, Blake Lively, Peter Sarsgaard, Mark Strong, Tim Robbins",United States of America,2011,2011-06-14,
Edge of Darkness,Martin Campbell,"Mel Gibson, Ray Winstone, Danny Huston, Bojana Novaković, Shawn Roberts","United Kingdom, United States of America",2010,2010-01-28,
Beyond Billiards,"Mateo Garmaz, Florencia Dufou, Octo Parodi","Florencia Dufou, Octo Parodi, Mateo Garmaz, Guadalupe Bisso",,2025,2025-03-03,
À bicyclette !,Mathias Mlekuz,"Mathias Mlekuz, Philippe Rebbot, Josef Mlekuz, Adriane Gradziel, Marziyeh Rezaei",France,2025,2025-02-26,
The Fantastic Four: First Steps,Matt Shakman,"Pedro Pascal, Vanessa Kirby, Joseph Quinn, Ebon Moss-Bachrach, Ralph Ineson",United States of America,2025,2025-07-23,
Cut Bank,Matt Shakman,"Liam Hemsworth, Teresa Palmer, John Malkovich, Bruce Dern, Billy Bob Thornton",United States of America,2014,2014-10-04,
The Last Supper,Mauro Borrelli,"Jamie Ward, James Oliver Wheatley, Charlie MacGechan, Nathalie Rapti Gomez, James Faulkner",United States of America,2025,2025-03-14,
Mindcage,Mauro Borrelli,"Martin Lawrence, Melissa Roxburgh, John Malkovich, Aiden Turner, Jacob Grodnik",United States of America,2022,2022-12-16,
WarHunt,Mauro Borrelli,"Robert Knepper, Jackson Rathbone, Mickey Rourke, Aglaya Tarasova, Anna Paliga","Latvia, United States of America",2022,2022-01-21,
The Recall,Mauro Borrelli,"Wesley Snipes, RJ Mitte, Jedidiah Goodacre, Laura Bilgeri, Niko Pepaj",Canada,2017,2017-06-02,
The Ghostmaker,Mauro Borrelli,"Aaron Dean Eisenberg, Liz Fenning, J. Walter Holland, Jared Grey, Domiziano Arcangeli",United States of America,2011,2011-08-01,
Bricked Up,Max James Walker,"Glenn Godfrey, Isabelle Whiteley, Geoff Hogg, Tristan Grant, Emily Lunson",United Kingdom,2025,2025-03-02,
Flight Risk,Mel Gibson,"Mark Wahlberg, Michelle Dockery, Topher Grace, Leah Remini, Paul Ben-Victor",United States of America,2025,2025-01-22,
Hacksaw Ridge,Mel Gibson,"Andrew Garfield, Sam Worthington, Vince Vaughn, Teresa Palmer, Luke Bracey","Australia, United Kingdom, United States of America, China",2016,2016-10-07,
We Are Storror,Michael Bay,,United States of America,2025,2025-03-08,
Ambulance,Michael Bay,"Jake Gyllenhaal, Yahya Abdul-Mateen II, Eiza González, Garret Dillahunt, Keir O'Donnell",United States of America,2022,2022-03-16,
6 Underground,Michael Bay,"Ryan Reynolds, Mélanie Laurent, Manuel Garcia-Rulfo, Ben Hardy, Adria Arjona",United States of America,2019,2019-12-10,
Transformers: The Last Knight,Michael Bay,"Mark Wahlberg, Laura Haddock, Peter Cullen, Anthony Hopkins, Erik Aadahl",United States of America,2017,2017-06-16,
13 Hours: The Secret Soldiers of Benghazi,Michael Bay,"John Krasinski, James Badge Dale, Dominic Fumusa, Max Martini, Pablo Schreiber","United States of America, Malta",2016,2016-01-14,
Transformers: Age of Extinction,Michael Bay,"Mark Wahlberg, Peter Cullen, Stanley Tucci, Kelsey Grammer, Nicola Peltz Beckham",United States of America,2014,2014-06-25,
Pain & Gain,Michael Bay,"Mark Wahlberg, Dwayne Johnson, Anthony Mackie, Tony Shalhoub, Ed Harris",United States of America,2013,2013-04-18,
Transformers: Dark of the Moon,Michael Bay,"Shia LaBeouf, Rosie Huntington-Whiteley, Peter Cullen, Leonard Nimoy, John Turturro",United States of America,2011,2011-06-28,
The Conjuring: Last Rites,Michael Chaves,"Patrick Wilson, Vera Farmiga, Mia Tomlinson, Ben Hardy, Shannon Kook",United States of America,2025,2025-09-04,
The Nun II,Michael Chaves,"Taissa Farmiga, Jonas Bloquet, Storm Reid, Anna Popplewell, Bonnie Aarons",United States of America,2023,2023-09-06,
The Conjuring: The Devil Made Me Do It,Michael Chaves,"Patrick Wilson, Vera Farmiga, Ruairí O'Connor, Sarah Catherine Hook, Julian Hilliard",United States of America,2021,2021-05-25,
The Curse of La Llorona,Michael Chaves,"Linda Cardellini, Raymond Cruz, Patricia Velásquez, Roman Christou, Jaynee-Lynne Kinchen",United States of America,2019,2019-04-17,
The Great Lillian Hall,Michael Cristofer,"Jessica Lange, Kathy Bates, Jesse Williams, Lily Rabe, Pierce Brosnan",United States of America,2025,2025-03-07,
The Night Clerk,Michael Cristofer,"Tye Sheridan, Ana de Armas, Helen Hunt, John Leguizamo, Johnathon Schaech",United States of America,2020,2020-02-19,
Bridget Jones: Mad About the Boy,Michael Morris,"Renée Zellweger, Chiwetel Ejiofor, Leo Woodall, Hugh Grant, Jim Broadbent","United Kingdom, United States of America, France",2025,2025-02-12,
To Leslie,Michael Morris,"Andrea Riseborough, Marc Maron, Andre Royo, Owen Teague, Allison Janney",United States of America,2022,2022-10-07,
Alarum,Michael Polish,"Scott Eastwood, Sylvester Stallone, Willa Fitzgerald, Mike Colter, D.W. Moffett",United States of America,2025,2025-01-16,
Terror on the Prairie,Michael Polish,"Gina Carano, Nick Searcy, Donald Cerrone, Heath Freeman, Gabriel-Kane Day Lewis",United States of America,2022,2022-09-08,
American Traitor: The Trial of Axis Sally,Michael Polish,"Meadow Williams, Al Pacino, Thomas Kretschmann, Mitch Pileggi, Lala Kent",United States of America,2021,2021-05-28,
Force of Nature,Michael Polish,"Mel Gibson, Emile Hirsch, Kate Bosworth, David Zayas, Stephanie Cayo","Puerto Rico, United Kingdom, United States of America",2020,2020-07-02,
Hot Bot,Michael Polish,"Cynthia Kirchner, Doug Haley, Zack Pearlman, Larry Miller, Danny Masterson",United States of America,2016,2016-03-01,
90 Minutes in Heaven,Michael Polish,"Kate Bosworth, Hayden Christensen, Hudson Meek, Bobby Batson, Elizabeth Hunter",United States of America,2015,2015-09-11,
Amnesiac,Michael Polish,"Kate Bosworth, Wes Bentley, Shashawnee Hall, Richard Riehle, Patrick Bauchau",United States of America,2015,2015-08-14,
The Smell of Success,Michael Polish,"Billy Bob Thornton, Téa Leoni, Mark Polish, Ed Helms, Kyle MacLachlan",United States of America,2011,2011-08-19,
We Beat the Dream Team,Michael Tolajian,"Grant Hill, Chris Webber, Penny Hardaway, Bobby Hurley, Jamal Mashburn",United States of America,2025,2025-02-17,
Once Brothers,Michael Tolajian,"Vlade Divac, Dražen Petrović, Kenny Anderson, Larry Bird",United States of America,2010,2010-10-12,
The Life of Chuck,Mike Flanagan,"Tom Hiddleston, Mark Hamill, Chiwetel Ejiofor, Karen Gillan, Jacob Tremblay",United States of America,2025,2025-05-30,
Doctor Sleep,Mike Flanagan,"Ewan McGregor, Kyliegh Curran, Rebecca Ferguson, Cliff Curtis, Zahn McClarnon",United States of America,2019,2019-10-30,
Gerald's Game,Mike Flanagan,"Carla Gugino, Bruce Greenwood, Henry Thomas, Chiara Aurelia, Kate Siegel",United States of America,2017,2017-09-29,
Hush,Mike Flanagan,"Kate Siegel, John Gallagher Jr., Samantha Sloyan, Michael Trucco, Emma Graves",United States of America,2016,2016-03-12,
Ouija: Origin of Evil,Mike Flanagan,"Annalise Basso, Elizabeth Reaser, Lulu Wilson, Henry Thomas, Parker Mack",United States of America,2016,2016-10-20,
Before I Wake,Mike Flanagan,"Kate Bosworth, Jacob Tremblay, Thomas Jane, Annabeth Gish, Lance E. Nichols",United States of America,2016,2016-04-07,
Oculus,Mike Flanagan,"Karen Gillan, Brenton Thwaites, Katee Sackhoff, Rory Cochrane, Annalise Basso",United States of America,2013,2013-09-08,
Absentia,Mike Flanagan,"Katie Parker, Courtney Bell, Morgan Peter Brown, Dave Levine, Justin Gordon",United States of America,2011,2011-03-03,
Holland,Mimi Cave,"Nicole Kidman, Gael García Bernal, Matthew Macfadyen, Rachel Sennott, Jude Hill","United Kingdom, United States of America",2025,2025-03-09,
Fresh,Mimi Cave,"Daisy Edgar-Jones, Sebastian Stan, Jojo T. Gibbs, Andrea Bang, Dayo Okeniyi",United States of America,2022,2022-03-03,
Umjolo: There Is No Cure,Mthunzi Dubazana,"Nombuleleo Mhlongo, Busisiwe Mtshali, Tina Redman, Londeka Sishi, Yonda Thomas",South Africa,2025,2025-02-13,
Aşk Sadece Bir An,Mustafa Kotan,"Emirhan Çakal, Nilsu Berfin Aktaş, Tuana Naz Tiryaki, Emre Kınay, Burcu Kara",Turkey,2025,2025-02-14,
The Man Who Could Not Remain Silent,Nebojša Slijepčević,"Goran Bogdan, Dragan Mićanović, Silvio Mumelaš, Alexis Manenti, Lara Nekić","Bulgaria, Croatia, France, Slovenia",2025,2025-02-14,
Inheritance,Neil Burger,"Phoebe Dynevor, Rhys Ifans, Ciara Baxendale, Kersti Bryan, Majd Eid",United States of America,2025,2025-01-24,
The Marsh King's Daughter,Neil Burger,"Daisy Ridley, Ben Mendelsohn, Garrett Hedlund, Caren Pistorius, Brooklynn Prince",United States of America,2023,2023-09-28,
Voyagers,Neil Burger,"Tye Sheridan, Lily-Rose Depp, Fionn Whitehead, Colin Farrell, Chanté Adams","Czech Republic, Romania, United Kingdom, United States of America",2021,2021-04-08,
The Upside,Neil Burger,"Kevin Hart, Bryan Cranston, Nicole Kidman, Golshifteh Farahani, Aja Naomi King",United States of America,2019,2019-01-10,
Divergent,Neil Burger,"Shailene Woodley, Theo James, Zoë Kravitz, Miles Teller, Jai Courtney",United States of America,2014,2014-03-14,
Limitless,Neil Burger,"Bradley Cooper, Robert De Niro, Abbie Cornish, Andrew Howard, Anna Friel",United States of America,2011,2011-03-17,
Cruel and Unusual Punishment,Nicholas Hooker,"Mia Fitzgerald, Elias Cuzens, Angelo Torres, Josh Everett, Oliver English",,2025,2025-03-02,
You're Cordially Invited,Nicholas Stoller,"Will Ferrell, Reese Witherspoon, Geraldine Viswanathan, Meredith Hagner, Jimmy Tatro",United States of America,2025,2025-01-29,
Bros,Nicholas Stoller,"Billy Eichner, Luke Macfarlane, Guy Branum, Miss Lawrence, Ts Madison",United States of America,2022,2022-09-30,
Neighbors 2: Sorority Rising,Nicholas Stoller,"Seth Rogen, Zac Efron, Rose Byrne, Chloë Grace Moretz, Dave Franco",United States of America,2016,2016-05-04,
Neighbors,Nicholas Stoller,"Seth Rogen, Zac Efron, Rose Byrne, Dave Franco, Christopher Mintz-Plasse",United States of America,2014,2014-05-08,
The Five-Year Engagement,Nicholas Stoller,"Jason Segel, Emily Blunt, Rhys Ifans, Chris Pratt, Alison Brie",United States of America,2012,2012-04-27,
Get Him to the Greek,Nicholas Stoller,"Jonah Hill, Russell Brand, Rose Byrne, Elisabeth Moss, Tyler McKinney",United States of America,2010,2010-06-03,
Marked Men: Rule + Shaw,Nick Cassavetes,"Chase Stokes, Sydney Taylor, Ella Balinska, Evan Mock, Alexander Ludwig",United States of America,2025,2025-01-22,
God Is a Bullet,Nick Cassavetes,"Maika Monroe, Nikolaj Coster-Waldau, Karl Glusman, January Jones, Jamie Foxx","Mexico, United States of America",2023,2023-06-22,
The Other Woman,Nick Cassavetes,"Cameron Diaz, Leslie Mann, Kate Upton, Nikolaj Coster-Waldau, Don Johnson",United States of America,2014,2014-04-16,
Honeymoon Crasher,Nicolas Cuche,"Michèle Laroque, Julien Frison, Rossy de Palma, Gilbert Melki, Margot Bancilhon",France,2025,2025-02-11,
Spoiled Brats,Nicolas Cuche,"Gérard Jugnot, Camille Lou, Artus, Louka Meliava, François Morel",France,2021,2021-09-15,
Second Chance,Nicolas Cuche,"Virginie Efira, François-Xavier Demaison, Raphaël Personnaz, Thomas Ngijol, Brigitte Roüan","Belgium, France",2011,2011-01-05,
Mesa de regalos,Noé Santillán-López,"José Eduardo Derbez, Cassandra Sánchez Navarro, Verónica Bravo, Irán Castillo, José Antonio Toledano",,2025,2025-01-16,
"Veinteañera, divorciada y fantástica",Noé Santillán-López,"Paulina Goto, Jesús Zavala, Vadhir Derbez, Natalia Téllez, Ela Velden",Mexico,2020,2020-02-14,
Star Trek: Section 31,Olatunde Osunsanmi,"Michelle Yeoh, Omari Hardwick, Sam Richardson, Kacey Rohl, Sven Ruygrok",United States of America,2025,2025-01-15,
Evidence,Olatunde Osunsanmi,"Torrey DeVitto, Caitlin Stasey, Harry Lennix, Stephen Moyer, Nolan Gerard Funk",United States of America,2013,2013-07-19,
El secreto del orfebre,Olga Osorio,"Mario Casas, Michelle Jenner, Zoe Bonafonte, Enzo Oliver",Spain,2025,2025-02-28,
Squad 36,Olivier Marchal,"Victor Belmondo, Tewfik Jallab, Sofiane Zermani, Soufiane Guerrab, Juliette Dol",France,2025,2025-02-27,
Overdose,Olivier Marchal,"Sofia Essaïdi, Assaad Bouab, Alberto Ammann, Nicolas Cazalé, Nassim Lyes",France,2022,2022-11-04,
Rogue City,Olivier Marchal,"Lannick Gautry, Stanislas Merhar, Kaaris, Jean Reno, David Belle",France,2020,2020-10-30,
Carbone,Olivier Marchal,"Benoît Magimel, Laura Smet, Gringe, Idir Chender, Michaël Youn","Belgium, France",2017,2017-11-01,
A Gang Story,Olivier Marchal,"Gérard Lanvin, Tchéky Karyo, Daniel Duval, Dimitri Storoge, Patrick Catalifo",France,2011,2011-11-10,
The Monkey,Osgood Perkins,"Theo James, Tatiana Maslany, Christian Convery, Colin O'Brien, Adam Scott","Canada, United States of America",2025,2025-02-14,
Longlegs,Osgood Perkins,"Maika Monroe, Nicolas Cage, Blair Underwood, Alicia Witt, Michelle Choi-Lee","Canada, United States of America",2024,2024-07-10,
Gretel & Hansel,Osgood Perkins,"Sophia Lillis, Samuel Leakey, Alice Krige, Jessica De Gouw, Charles Babalola","Canada, Ireland, United States of America",2020,2020-01-30,
The Blackcoat's Daughter,Osgood Perkins,"Emma Roberts, Kiernan Shipka, Lucy Boynton, James Remar, Lauren Holly","Canada, France, United States of America",2017,2017-03-31,
I Am the Pretty Thing That Lives in the House,Osgood Perkins,"Ruth Wilson, Paula Prentiss, Bob Balaban, Lucy Boynton, Brad Milne","Canada, United States of America",2016,2016-09-10,
CrazyMinded,Paolo Genovese,"Edoardo Leo, Pilar Fogliati, Emanuela Fanelli, Maria Chiara Giannetta, Claudia Pandolfi",Italy,2025,2025-02-20,
Superheroes,Paolo Genovese,"Alessandro Borghi, Jasmine Trinca, Greta Scarano, Vinicio Marchioni, Linda Caridi",Italy,2021,2021-12-23,
The Place,Paolo Genovese,"Valerio Mastandrea, Marco Giallini, Alba Rohrwacher, Vittoria Puccini, Rocco Papaleo","Italy, United States of America",2017,2017-11-04,
Perfect Strangers,Paolo Genovese,"Giuseppe Battiston, Anna Foglietta, Marco Giallini, Edoardo Leo, Valerio Mastandrea",Italy,2016,2016-02-11,
Ever Been to the Moon?,Paolo Genovese,"Raoul Bova, Liz Solari, Nino Frassica, Sabrina Impacciatore, Neri Marcorè",Italy,2015,2015-01-22,
Una famiglia perfetta,Paolo Genovese,"Sergio Castellitto, Marco Giallini, Claudia Gerini, Carolina Crescentini, Ilaria Occhini",Italy,2012,2012-11-29,
The Immature: The Trip,Paolo Genovese,"Raoul Bova, Barbora Bobuľová, Ambra Angiolini, Luca Bizzarri, Paolo Kessisoglu",Italy,2012,2012-01-04,
The Immature,Paolo Genovese,"Raoul Bova, Barbora Bobuľová, Ambra Angiolini, Luca Bizzarri, Paolo Kessisoglu",Italy,2011,2011-01-21,
The Santa Claus Gang,Paolo Genovese,"Aldo Baglio, Giovanni Storti, Giacomo Poretti, Angela Finocchiaro, Giovanni Esposito",Italy,2010,2010-12-17,
G20,Patricia Riggen,"Viola Davis, Anthony Anderson, Marsai Martin, Ramón Rodríguez, Antony Starr",United States of America,2025,2025-04-09,
Miracles from Heaven,Patricia Riggen,"Jennifer Garner, Kylie Rogers, Martin Henderson, Brighton Sharbino, Courtney Fansler",United States of America,2016,2016-03-17,
The 33,Patricia Riggen,"Antonio Banderas, Rodrigo Santoro, Kate del Castillo, Juliette Binoche, James Brolin","Chile, Colombia, Spain, United States of America",2015,2015-08-06,
Girl in Progress,Patricia Riggen,"Eva Mendes, Cierra Ramirez, Matthew Modine, Landon Liboiron, Patricia Arquette",United States of America,2012,2012-05-11,
Lemonade Mouth,Patricia Riggen,"Bridgit Mendler, Adam Hicks, Hayley Kiyoko, Naomi Scott, Blake Michael",United States of America,2011,2011-04-15,
One Battle After Another,Paul Thomas Anderson,"Leonardo DiCaprio, Sean Penn, Regina Hall, Chase Infiniti, Teyana Taylor",United States of America,2025,2025-08-06,
Licorice Pizza,Paul Thomas Anderson,"Alana Haim, Cooper Hoffman, Sean Penn, Tom Waits, Bradley Cooper","Canada, United States of America",2021,2021-11-26,
Anima,Paul Thomas Anderson,"Thom Yorke, Dajana Roncione, Frida Dam Seidel, Joseba Yerro Izaguirre, Jean Michael Sinisterra Munoz","Czech Republic, France, United Kingdom",2019,2019-06-27,
Phantom Thread,Paul Thomas Anderson,"Daniel Day-Lewis, Vicky Krieps, Lesley Manville, Camilla Rutherford, Gina McKee","United States of America, China",2017,2017-12-25,
Inherent Vice,Paul Thomas Anderson,"Joaquin Phoenix, Josh Brolin, Owen Wilson, Katherine Waterston, Reese Witherspoon",United States of America,2014,2014-12-12,
The Master,Paul Thomas Anderson,"Joaquin Phoenix, Philip Seymour Hoffman, Amy Adams, Rami Malek, Laura Dern",United States of America,2012,2012-09-14,
In the Lost Lands,Paul W. S. Anderson,"Milla Jovovich, Dave Bautista, Arly Jover, Amara Okereke, Fraser James","Germany, United States of America, Canada",2025,2025-02-27,
Monster Hunter,Paul W. S. Anderson,"Milla Jovovich, Tony Jaa, Ron Perlman, T.I., Diego Boneta","China, Germany, Japan, United Kingdom",2020,2020-12-03,
Pompeii,Paul W. S. Anderson,"Kit Harington, Emily Browning, Adewale Akinnuoye-Agbaje, Kiefer Sutherland, Carrie-Anne Moss","Canada, Germany, United Kingdom, United States of America",2014,2014-02-18,
The Three Musketeers,Paul W. S. Anderson,"Logan Lerman, Milla Jovovich, Matthew Macfadyen, Ray Stevenson, Luke Evans","United States of America, United Kingdom, Germany, France",2011,2011-08-31,
Dog Man,Peter Hastings,"Peter Hastings, Pete Davidson, Lil Rel Howery, Isla Fisher, Lucas Hopkins Calderon",United States of America,2025,2025-01-24,
The Bad Guys 2,Pierre Perifel,"Sam Rockwell, Marc Maron, Craig Robinson, Anthony Ramos, Awkwafina","Japan, United States of America",2025,2025-07-30,
The Bad Guys,Pierre Perifel,"Sam Rockwell, Marc Maron, Awkwafina, Craig Robinson, Anthony Ramos",United States of America,2022,2022-03-17,
Muay Thai Hustle,Ping Lumpraploeng,"Jirayu La-ongmani, Sananthachat Thanapatpisal, Chinawut Indracusin, Supathat Opas, Auttawut Inthong",Thailand,2025,2025-01-09,
The Pool,Ping Lumpraploeng,"Theeradej Wongpuapan, Ratnomnot Ratchiratham, Kongkiat Khomsiri, Avajareen, Suteerush Channukool",Thailand,2018,2018-09-27,
Picture This,Prarthana Mohan,"Simone Ashley, Hero Fiennes Tiffin, Phil Dunster, Nikesh Patel, Anoushka Chadha",United Kingdom,2025,2025-03-05,
Christmas Is Canceled,Prarthana Mohan,"Hayley Orrantia, Dermot Mulroney, Janel Parrish, Michael Naizu, Mirelly Taylor",United States of America,2021,2021-12-23,
Panor,Puttipong Saisrikaew,"Cherprang Areekul, Jackrin Kungwankiatichai, Chalita Suansane, Rattanawadee Wongtong, Pijika Jittaputta",Thailand,2025,2025-01-16,
High Rollers,Randall Emmett,"John Travolta, Gina Gershon, Lukas Haas, Quavo, Kelly Greyson",United States of America,2025,2025-03-14,
Cash Out,Randall Emmett,"John Travolta, Kristin Davis, Lukas Haas, Quavo, Joel Cohen",United States of America,2024,2024-04-26,
Savage Salvation,Randall Emmett,"Jack Huston, Robert De Niro, John Malkovich, Willa Fitzgerald, Quavo","Canada, Puerto Rico, United States of America",2022,2022-12-02,
Midnight in the Switchgrass,Randall Emmett,"Megan Fox, Bruce Willis, Emile Hirsch, Lukas Haas, Caitlin Carmichael","Puerto Rico, United States of America",2021,2021-07-23,
