Member_state,Heritage_element,Status_Inscribed_or_Proclaimed,Region,Start,End
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,"Taekkyeon, a traditional Korean martial art",inscribed,APA,2011,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Weaving of Mosi (fine ramie) in the Hansan region,inscribed,APA,2011,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,"Arirang, lyrical folk song in the Republic of Korea",inscribed,APA,2012,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,"Kimjang, making and sharing Kimchi in the Republic of Korea",inscribed,APA,2013,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,"Nongak, community band music, dance and rituals in the Republic of Korea",inscribed,APA,2014,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Culture of Jeju Haenyeo (women divers),inscribed,APA,2016,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,"Yeondeunghoe, lantern lighting festival in the Republic of Korea",inscribed,APA,2020,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,"Talchum, mask dance drama in the Republic of Korea",inscribed,APA,2022,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,The Mystery Play of Elche,proclaimed,ENA,2001,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,The Mystery Play of Elche,inscribed,ENA,2008,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,The Patum of Berga,proclaimed,ENA,2005,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,The Patum of Berga,inscribed,ENA,2008,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Irrigators' tribunals of the Spanish Mediterranean coast: the Council of Wise Men of the plain of Murcia and the Water Tribunal of the plain of Valencia,inscribed,ENA,2009,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Whistled language of the island of La Gomera,inscribed,ENA,2009,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Human towers,inscribed,ENA,2010,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Flamenco,inscribed,ENA,2010,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Chant of the Sybil on Majorca,inscribed,ENA,2010,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Festivity of 'la Mare de Déu de la Salut' of Algemesí,inscribed,ENA,2011,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Fiesta of the patios in Cordoba,inscribed,ENA,2012,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Valencia Fallas festivity,inscribed,ENA,2016,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Tamboradas drum-playing rituals,inscribed,ENA,2018,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Wine Horses,inscribed,ENA,2020,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Manual bell ringing,inscribed,ENA,2022,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,"Rūkada Nātya, traditional string puppet drama in Sri Lanka",inscribed,APA,2018,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Traditional craftsmanship of making Dumbara Ratā Kalāla,inscribed,APA,2021,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Procession and celebrations of Prophet Mohammed's birthday in Sudan,inscribed,AFR,2023,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Winegrowers' Festival in Vevey (Fête des Vignerons),inscribed,ENA,2016,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Basel Carnival,inscribed,ENA,2017,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Holy Week processions in Mendrisio,inscribed,ENA,2019,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Alpine pasture season,inscribed,ENA,2023,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Practices and craftsmanship associated with the Damascene rose in Al-Mrah,inscribed,ARB,2019,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Al-Qudoud al-Halabiya,inscribed,ARB,2021,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,"Oshi Palav, a traditional meal and its social and cultural contexts",inscribed,APA,2016,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,"Chakan, embroidery art",inscribed,APA,2018,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Falak,inscribed,APA,2021,
Saudi Arabia / Algeria / Bahrain / Egypt / Iraq / Jordan / Kuwait / Lebanon / Mauritania / Morocco / Oman / Palestine / Sudan / Tunisia / United Arab Emirates / Yemen,Traditional knowledge and skills of production of the atlas and adras fabrics,inscribed,APA,2023,
Turkmenistan / Iran,Turkmen-style needlework art,inscribed,APA,2022,
Turkmenistan / Iran,Barkcloth Making in Uganda,proclaimed,AFR,2005,
Turkmenistan / Iran,Barkcloth Making in Uganda,inscribed,AFR,2008,
Turkmenistan / Iran,Petrykivka decorative painting as a phenomenon of the Ukrainian ornamental folk art,inscribed,ENA,2013,
Turkmenistan / Iran,Tradition of Kosiv painted ceramics,inscribed,ENA,2019,
Turkmenistan / Iran,"Ornek, a Crimean Tatar ornament and knowledge about it",inscribed,ENA,2021,
Turkmenistan / Iran,"Al Aflaj, traditional irrigation network system in the UAE, oral traditions, knowledge and skills of construction, maintenance and equitable water distribution",inscribed,ARB,2020,
Turkmenistan / Iran,"Al Talli, traditional embroidery skills in the United Arab Emirates",inscribed,ARB,2022,
United Arab Emirates / Oman / Saudi Arabia,"Harees dish: know-how, skills and practices",inscribed,ARB,2023,
United Arab Emirates / Oman / Saudi Arabia,The Candombe and its socio-cultural space: a community practice,inscribed,LAC,2009,
United Arab Emirates / Oman / Saudi Arabia,The Cultural Space of the Boysun District,proclaimed,APA,2001,
United Arab Emirates / Oman / Saudi Arabia,The Cultural Space of the Boysun District,inscribed,APA,2008,
United Arab Emirates / Oman / Saudi Arabia,Katta Ashula,inscribed,APA,2009,
United Arab Emirates / Oman / Saudi Arabia,"Askiya, the art of wit",inscribed,APA,2014,
United Arab Emirates / Oman / Saudi Arabia,Palov culture and tradition,inscribed,APA,2016,
United Arab Emirates / Oman / Saudi Arabia,"Khorazm dance, Lazgi",inscribed,APA,2019,
United Arab Emirates / Oman / Saudi Arabia,Bakhshi art,inscribed,APA,2021,
United Arab Emirates / Oman / Saudi Arabia,Ceramic arts in Uzbekistan,inscribed,APA,2023,
United Arab Emirates / Oman / Saudi Arabia,Vanuatu Sand Drawings,proclaimed,APA,2003,
United Arab Emirates / Oman / Saudi Arabia,Vanuatu Sand Drawings,inscribed,APA,2008,
United Arab Emirates / Oman / Saudi Arabia,Dancing Devils of Corpus Christi,inscribed,LAC,2012,
United Arab Emirates / Oman / Saudi Arabia,La Parranda de San Pedro de Guarenas y Guatire,inscribed,LAC,2013,
United Arab Emirates / Oman / Saudi Arabia,Traditional knowledge and technologies relating to the growing and processing of the curagua,inscribed,LAC,2015,
United Arab Emirates / Oman / Saudi Arabia,"Carnival of El Callao, a festive representation of a memory and cultural identity",inscribed,LAC,2016,
United Arab Emirates / Oman / Saudi Arabia,Festive cycle around the devotion and worship towards Saint John the Baptist,inscribed,LAC,2021,
United Arab Emirates / Oman / Saudi Arabia,Space of gong culture,proclaimed,APA,2005,
United Arab Emirates / Oman / Saudi Arabia,Space of gong culture,inscribed,APA,2008,
United Arab Emirates / Oman / Saudi Arabia,"Nhã nhạc, Vietnamese court music",proclaimed,APA,2003,
United Arab Emirates / Oman / Saudi Arabia,"Nhã nhạc, Vietnamese court music",inscribed,APA,2008,
United Arab Emirates / Oman / Saudi Arabia,Quan Họ Bắc Ninh folk songs,inscribed,APA,2009,
United Arab Emirates / Oman / Saudi Arabia,Gióng Festival of Phù Đổng and Sóc Temples,inscribed,APA,2010,
United Arab Emirates / Oman / Saudi Arabia,Worship of Hùng Kings in Phú Thọ,inscribed,APA,2012,
United Arab Emirates / Oman / Saudi Arabia,Art of Đờn ca tài tử music and song in southern Việt Nam,inscribed,APA,2013,
United Arab Emirates / Oman / Saudi Arabia,Ví and Giặm folk songs of Nghệ Tĩnh,inscribed,APA,2014,
United Arab Emirates / Oman / Saudi Arabia,Practices related to the Viet beliefs in the Mother Goddesses of Three Realms,inscribed,APA,2016,
United Arab Emirates / Oman / Saudi Arabia,"Xoan singing of Phú Thọ province, Viet Nam",inscribed,APA,2017,
United Arab Emirates / Oman / Saudi Arabia,The art of Bài chòi in Central Viet Nam,inscribed,APA,2017,
United Arab Emirates / Oman / Saudi Arabia,"Practices of Then by Tày, Nùng and Thái ethnic groups in Viet Nam",inscribed,APA,2019,
United Arab Emirates / Oman / Saudi Arabia,Art of Xòe dance of the Tai people in Viet Nam,inscribed,APA,2021,
United Arab Emirates / Oman / Saudi Arabia,Song of Sana'a,proclaimed,AST,2003,
United Arab Emirates / Oman / Saudi Arabia,Song of Sana'a,inscribed,AST,2008,
United Arab Emirates / Oman / Saudi Arabia,The Makishi Masquerade,proclaimed,AFR,2005,
United Arab Emirates / Oman / Saudi Arabia,The Makishi Masquerade,inscribed,AFR,2008,
United Arab Emirates / Oman / Saudi Arabia,Mooba dance of the Lenje ethnic group,inscribed,AFR,2018,
United Arab Emirates / Oman / Saudi Arabia,Budima dance,inscribed,AFR,2020,
United Arab Emirates / Oman / Saudi Arabia,Kalela dance,inscribed,AFR,2022,
United Arab Emirates / Oman / Saudi Arabia,The Mbende Jerusarema Dance,proclaimed,AFR,2005,
United Arab Emirates / Oman / Saudi Arabia,The Mbende Jerusarema Dance,inscribed,AFR,2008,
